BehaviorSpace results (Python virus-model),Spreadsheet version 2.0
Virus (Python replication)
no_infection_1_runs
2026-05-19T23:13:43.185+10:00
min-pxcor,max-pxcor,min-pycor,max-pycor
-17,17,-17,17
[run number],1,1,1,1,1,1,1,1
duration,20,20,20,20,20,20,20,20
number-people,150,150,150,150,150,150,150,150
chance-recover,75,75,75,75,75,75,75,75
turtle-shape,person,person,person,person,person,person,person,person
infectiousness,0,0,0,0,0,0,0,0
[reporter],[step],ticks,count turtles with [sick?],count turtles with [immune?],count turtles with [not sick? and not immune?],count turtles,%infected,%immune
[final],2,2,10,0,144,154,6.493506493506493,0.0
[min],0,0,10,0,140,150,6.493506493506493,0.0
[max],2,2,10,0,144,154,6.666666666666667,0.0
[mean],1,1,10,0,142,152,6.579706842864737,0.0
[total steps],2,2,2,2,2,2,2,2

[all run data],[step],ticks,count turtles with [sick?],count turtles with [immune?],count turtles with [not sick? and not immune?],count turtles,%infected,%immune
,0,0,10,0,140,150,6.666666666666667,0.0
,1,1,10,0,142,152,6.578947368421052,0.0
,2,2,10,0,144,154,6.493506493506493,0.0
